TimeStep,Slice,Throughput_Mbps,Avg_SNR_dB,Avg_Delay_ms,Users,PRB_num,DL_Buffer,Scheduling,TxPower,ant_tilt_deg,user_throughput,CIO
1,URLLC,12.0465060992841,6.40014882619994,1.89001817509461,7,131,19,WF,26,11,1.72092944275487,0
2,URLLC,24.3237513216671,3.72185460351286,2.21682450687054,7,131,37.9534939007159,RR,26,11,3.47482161738101,0
3,URLLC,23.3228769197922,3.89721212014071,1.76330973999748,7,131,39.4269405509876,RR,26,11,3.33183955997032,0
4,URLLC,29.2790365957047,5.99790807620179,1.10708617098861,7,131,38.1990432422515,RR,26,11,4.18271951367211,0
5,URLLC,33.4269405509876,5.30867497904,0.726918660318438,7,131,33.4269405509876,RR,26,11,4.77527722156966,0
6,URLLC,20.7506918726547,5.13781570709176,1.13824167975003,7,131,25,RR,26,11,2.96438455323639,0
7,URLLC,23.5156768975722,3.43529469032035,1.30303285708871,7,131,27.2493081273453,RR,26,11,3.35938241393889,0
8,URLLC,26.13291769768,5.84269828721023,0.786346016479558,7,131,29,RR,26,11,3.73327395681143,0
9,URLLC,25.7453605623064,4.42859556025596,0.750479897727657,7,131,25.86708230232,RR,26,11,3.67790865175806,0
10,URLLC,20.1217217400136,4.1266664976666,0.643914202674879,7,131,20.1217217400136,RR,26,11,2.8745316771448,0
11,URLLC,20.7059771466924,5.71480831855182,0.904443470819083,7,131,27,RR,26,11,2.95799673524177,0
12,URLLC,31.74583539536,4.78331251559702,1.26481005656786,7,131,44.2940228533076,RR,26,11,4.53511934219429,0
13,URLLC,27.2790365957047,3.8526718206348,1.20448806796906,7,131,39.25416460464,RR,26,11,3.89700522795782,0
14,URLLC,25.9503255473835,4.23867663672701,1.5318916296539,7,131,37.2940228533076,RR,26,11,3.70718936391192,0
15,URLLC,26.4684053853397,4.25291605829613,1.33280817152594,7,131,36.4250203889439,RR,26,11,3.78120076933425,0
16,URLLC,30.7059771466924,5.87175269388627,0.967651652001162,7,131,36.6246540636726,RR,26,11,4.3865681638132,0
