TimeStep,Slice,Throughput_Mbps,Avg_SNR_dB,Avg_Delay_ms,Users,PRB_num,DL_Buffer,Scheduling,TxPower,ant_tilt_deg,user_throughput,CIO
1,eMBB,236.818642687151,14.83946843399,31.0856929228056,7,169,351.415282559737,WF,33,15,33.831234669593,0
2,eMBB,280.541829481998,16.6242746397882,12.4487740430937,7,169,401.246970376407,RR,33,15,40.077404211714,0
3,eMBB,344.730043088661,17.7766991384157,11.5967052564359,7,169,481.89065136825,RR,33,15,49.2471490126658,0
4,eMBB,294.77101870148,16.7655848124349,12.4296706533265,7,169,453.153069721781,RR,33,15,42.1101455287829,0
5,eMBB,302.925467773654,17.3080909432987,11.4309741323806,7,169,451.328141579745,RR,33,15,43.2750668248077,0
6,eMBB,352.992425612891,17.495271084691,11.7100762923578,7,169,506.033647343222,RR,33,15,50.4274893732701,0
7,eMBB,365.535031102338,16.8520274016683,10.0297747419007,7,169,479.760039905622,RR,33,15,52.2192901574769,0
8,eMBB,272.561992828956,15.9240738400182,14.3840650856037,7,169,439.268936351791,RR,33,15,38.9374275469938,0
9,eMBB,341.094807576452,16.5930231029054,13.8259394526139,7,169,516.722934175423,RR,33,15,48.7278296537789,0
10,eMBB,308.713734032468,18.9520462435501,13.7775971277141,7,169,466.733067770143,RR,33,15,44.1019620046383,0
11,eMBB,266.808761358389,16.7899865251485,14.3184320839516,7,169,439.612252466166,RR,33,15,38.1155373369127,0
12,eMBB,322.121812604276,16.4595644159254,12.3055444406852,7,169,479.723652858306,RR,33,15,46.0174018006109,0
13,eMBB,363.989562749723,17.0678681246233,11.4405163450629,7,169,515.667527316972,RR,33,15,51.9985089642461,0
14,eMBB,276.492844794825,16.5736478426631,13.0030633942973,7,169,442.587573736836,RR,33,15,39.4989778278322,0
15,eMBB,314.057407376294,16.6110450158755,14.8306347315638,7,169,483.164178315261,RR,33,15,44.8653439108991,0
16,eMBB,309.433909901996,17.7935139103953,10.9784523517775,7,169,433.373633316333,RR,33,15,44.2048442717138,0
17,eMBB,343.233449412438,16.5887689004513,9.57553440002331,7,169,421.728771484323,RR,33,15,49.0333499160625,0
18,eMBB,313.570943394959,17.7197690444081,10.8008903494183,7,169,419.683295243137,RR,33,15,44.7958490564228,0
19,eMBB,365.276580747582,17.9796237955691,10.0334514748321,7,169,465.643094963789,RR,33,15,52.182368678226,0
20,eMBB,350.413962087057,17.2021493289244,14.8629209434794,7,169,465.459173521787,RR,33,15,50.0591374410082,0
21,eMBB,169.172159904857,7.79482355958267,437.419956174263,7,77,412.092244660201,WF,25,4,24.1674514149796,-1
22,eMBB,184.166997253799,9.28500678259575,334.633294640294,7,77,555.657189101157,WF,25,4,26.309571036257,-1
23,eMBB,174.744800845696,9.45305721168303,243.900614889264,7,77,562.191630964629,WF,25,4,24.9635429779565,-1
24,eMBB,182.491489632877,7.47872944554265,1550.3783942533,7,77,553.733516268522,WF,25,4,26.0702128046967,-1
25,eMBB,179.550496093923,7.8491089212283,1177.02541918914,7,77,580.458949169606,WF,25,4,25.6500708705605,-1
26,eMBB,168.640548453689,8.28793639771591,587.650246819204,7,77,590.138664955409,WF,25,4,24.0915069219555,-1
27,eMBB,156.074490185542,8.95833939069829,543.092184168037,7,77,543.615495613831,WF,25,4,22.2963557407918,-1
28,eMBB,198.999218099999,10.9929699890534,240.467957286013,7,77,598.341562272959,WF,25,4,28.4284597285713,-1
29,eMBB,175.183410860775,8.51067544914417,568.301634769428,7,77,571.833433843957,WF,25,4,25.0262015515393,-1
30,eMBB,171.264388297414,7.08987913242993,1048.45358353995,7,77,583.184609004324,WF,25,4,24.4663411853449,-1
31,eMBB,190.478178575332,8.24277949730188,1573.94367514195,7,77,548.324263114902,WF,25,4,27.2111683679045,-1
32,eMBB,127.734364270869,8.97154980481257,393.720858205479,7,77,501.728616406795,WF,25,4,18.2477663244098,-1
33,eMBB,190.362330017085,8.75373218260068,210.749750464986,7,77,575.452646376709,WF,25,4,27.1946185738693,-1
34,eMBB,158.642852160056,7.92424226220607,515.197001787406,7,77,529.006333335439,WF,25,4,22.6632645942938,-1
35,eMBB,166.391149368187,8.55127766858333,575.29474487816,7,77,548.471343059984,WF,25,4,23.7701641954554,-1
36,eMBB,138.420794103022,8.28148244055634,596.248571014974,7,77,544.200745712527,WF,25,4,19.7743991575745,-1
37,eMBB,155.144563698378,8.87912183175233,521.725381254933,7,77,544.977779866659,WF,25,4,22.1635090997682,-1
38,eMBB,191.154811496794,8.73663788677032,491.669737044947,7,77,576.761530297822,WF,25,4,27.3078302138278,-1
39,eMBB,185.397835440881,7.79523368150821,543.856663084934,7,77,545.8974294282,WF,25,4,26.485405062983,-1
40,eMBB,155.358027806665,8.54246207172068,813.350263515776,7,77,514.36187648906,WF,25,4,22.1940039723808,-1
41,eMBB,371.012771699954,15.2825217922454,24.0408053388586,7,141,615.600549084296,PF,33,14,53.0018245285648,-4
42,eMBB,374.146268194099,15.6753733118094,16.8464377183583,7,141,606.771365499381,PF,33,14,53.4494668848713,-4
43,eMBB,442.609937223183,18.2343653804761,19.2384681633896,7,141,604.351430157623,PF,33,14,63.2299910318833,-4
44,eMBB,356.972250448079,18.2852934872048,12.8160454034802,7,141,518.621748396059,PF,33,14,50.9960357782969,-4
45,eMBB,362.742147536541,18.4349206018601,14.2415606458589,7,141,556.107383085666,PF,33,14,51.8203067909344,-4
46,eMBB,358.0027590833,17.3301477073091,14.521685503981,7,141,570.586703923855,PF,33,14,51.1432512976143,-4
47,eMBB,378.065509715317,16.697126632374,19.0165851602017,7,141,584.745070626122,PF,33,14,54.0093585307596,-4
48,eMBB,354.304619019026,17.2174853821797,12.7263772175858,7,141,508.014862906831,PF,33,14,50.6149455741465,-4
49,eMBB,294.102513355462,17.4774416897381,26.5519546835522,7,141,504.645679000917,PF,33,14,42.0146447650661,-4
50,eMBB,336.827019705558,16.8593648824264,12.0503153569565,7,141,459.983235631594,PF,33,14,48.1181456722226,-4
51,eMBB,294.904646461598,16.0301032219813,19.5800249548215,7,141,524.421560409363,PF,33,14,42.1292352087997,-4
52,eMBB,334.419052210975,18.4787272652585,22.2005579938978,7,141,597.117402542673,PF,33,14,47.7741503158536,-4
53,eMBB,364.234826920041,18.0473130136461,14.7917536518125,7,141,581.515895479863,PF,33,14,52.0335467028631,-4
54,eMBB,320.362822198231,18.3123417791748,18.1186493798175,7,141,572.397364428036,PF,33,14,45.7661174568902,-4
55,eMBB,242.778369738698,14.146943449786,697.330900398458,7,141,586.011954652463,PF,33,14,34.6826242483854,-4
56,eMBB,339.512905776135,19.0813989511632,16.4706092065272,7,141,560.20339054958,PF,33,14,48.5018436823051,-4
57,eMBB,325.573162114792,16.1931636005153,23.6864678793285,7,141,609.137954629752,PF,33,14,46.5104517306846,-4
58,eMBB,333.771989429857,16.4922439048825,22.5371877598929,7,141,642.980838087344,PF,33,14,47.6817127756939,-4
59,eMBB,337.646155447996,18.2635810050978,15.9693408959733,7,141,576.844401633419,PF,33,14,48.2351650639994,-4
60,eMBB,354.664639134726,17.2795810703258,24.4714247799861,7,141,632.006669156712,PF,33,14,50.6663770192466,-4
61,eMBB,150.860723848465,8.08806472515811,133.103634328099,7,98,465.446895208694,RR,25,11,21.5515319783522,0
62,eMBB,161.924861598764,9.27007935050146,102.167811959823,7,98,392.66099179956,RR,25,11,23.1321230855378,0
63,eMBB,156.981507688319,7.42325289487673,54.2866274056658,7,98,378.686095394137,RR,25,11,22.4259296697598,0
64,eMBB,161.487621801122,9.28774340910468,48.6380908845957,7,98,419.420796907762,RR,25,11,23.0696602573032,0
