TimeStep,Slice,Throughput_Mbps,Avg_SNR_dB,Avg_Delay_ms,Users,PRB_num,DL_Buffer,Scheduling,TxPower,ant_tilt_deg,user_throughput,CIO
1,URLLC,8,9.01621712181981,0.489909734406762,3,135,8,WF,33,12,2.66666666666667,5
2,URLLC,8,10.4359571705533,0.298080937929152,3,135,8,RR,33,12,2.66666666666667,5
3,URLLC,6,8.73368246303293,0.287940838035581,3,135,6,RR,33,12,2,5
4,URLLC,9,10.4822181385497,0.319146170760447,3,135,9,RR,33,12,3,5
5,URLLC,7,11.210046421951,0.291977200663817,3,135,7,RR,33,12,2.33333333333333,5
6,URLLC,7,9.65472139562217,0.301365844190487,3,135,7,RR,33,12,2.33333333333333,5
7,URLLC,11,9.14262627899512,0.340008722738031,3,135,11,RR,33,12,3.66666666666667,5
8,URLLC,7,10.7277683208351,0.290737536935229,3,135,7,RR,33,12,2.33333333333333,5
9,URLLC,13,8.0398847618958,0.413305932819675,3,135,13,RR,33,12,4.33333333333333,5
10,URLLC,7,9.62748299920476,0.296966329576761,3,135,7,RR,33,12,2.33333333333333,5
11,URLLC,5,10.5235600910854,0.194716620190506,3,135,5,RR,33,12,1.66666666666667,5
12,URLLC,9,10.9702408830253,0.311205349563495,3,135,9,RR,33,12,3,5
13,URLLC,3,10.3892837774956,0.178573187433463,3,135,3,RR,33,12,1,5
14,URLLC,5,11.753688418011,0.277460977962115,3,135,5,RR,33,12,1.66666666666667,5
15,URLLC,4,10.2972427030126,0.279122542382175,3,135,4,RR,33,12,1.33333333333333,5
16,URLLC,9,9.77832280559248,0.333183168768616,3,135,9,RR,33,12,3,5
17,URLLC,8,10.3390926837543,0.356496556484,3,135,8,RR,33,12,2.66666666666667,5
18,URLLC,7,9.99112717446035,0.301546429651575,3,135,7,RR,33,12,2.33333333333333,5
19,URLLC,9,8.77687004725055,0.360671169321809,3,135,9,RR,33,12,3,5
20,URLLC,21,7.66568927705411,0.468849316816845,3,135,21,RR,33,12,7,5
21,URLLC,1,5.08789752294893,0.100803903021705,3,160,1,RR,29,10,0.333333333333333,2
22,URLLC,2,5.64485295522176,0.179258941107881,3,160,2,RR,29,10,0.666666666666667,2
23,URLLC,6,8.46768687143453,0.301038926825559,3,160,6,RR,29,10,2,2
24,URLLC,6,6.76244313922877,0.325401697066196,3,160,6,RR,29,10,2,2
25,URLLC,2,0.932322960358779,0.102613739880361,3,160,2,RR,29,10,0.666666666666667,2
26,URLLC,2,7.34068545180611,0.193777619713939,3,160,2,RR,29,10,0.666666666666667,2
27,URLLC,2,5.38784908957346,0.155603303330909,3,160,2,RR,29,10,0.666666666666667,2
28,URLLC,2,5.09570555186681,0.108835720193422,3,160,2,RR,29,10,0.666666666666667,2
29,URLLC,2,7.82765508489985,0.18232881018319,3,160,2,RR,29,10,0.666666666666667,2
30,URLLC,2,4.9966062881723,0.188424974548449,3,160,2,RR,29,10,0.666666666666667,2
31,URLLC,4,5.66508994937631,0.303523051199368,3,160,4,RR,29,10,1.33333333333333,2
32,URLLC,5,6.26557237633514,0.303736436509877,3,160,5,RR,29,10,1.66666666666667,2
33,URLLC,4,6.85813066260175,0.189217688461719,3,160,4,RR,29,10,1.33333333333333,2
34,URLLC,3,5.79477337418655,0.288107647043087,3,160,3,RR,29,10,1,2
35,URLLC,3,4.63698656602328,0.219442628130077,3,160,3,RR,29,10,1,2
36,URLLC,2,6.3526231172409,0.185947455632854,3,160,2,RR,29,10,0.666666666666667,2
37,URLLC,2,5.95324434875391,0.177473833767955,3,160,2,RR,29,10,0.666666666666667,2
38,URLLC,2,6.27295236230158,0.188424974548449,3,160,2,RR,29,10,0.666666666666667,2
39,URLLC,4,6.31851058669697,0.283208685816069,3,160,4,RR,29,10,1.33333333333333,2
40,URLLC,5,4.43203147589161,0.196507403511305,3,160,5,RR,29,10,1.66666666666667,2
41,URLLC,5,2.08761241672478,0.381729497889679,3,99,5,PF,25,3,1.66666666666667,-5
42,URLLC,1,-0.549355581950599,0.0988161103862678,3,99,1,PF,25,3,0.333333333333333,-5
43,URLLC,0,-1.3020429647715,0,3,99,0,PF,25,3,0,-5
44,URLLC,4,1.71178614753442,0.447284708513022,3,99,4,PF,25,3,1.33333333333333,-5
45,URLLC,1,4.12492961791396,0.148224368781916,2,99,1,PF,25,3,0.5,-5
46,URLLC,2,4.94420200020147,0.141059357613951,2,99,2,PF,25,3,1,-5
47,URLLC,4,2.40436227158108,0.345325434922328,2,99,4,PF,25,3,2,-5
48,URLLC,3,3.02441510050363,0.154038358121233,2,99,3,PF,25,3,1.5,-5
49,URLLC,1,0.837229879988144,0.164361361601108,2,99,1,PF,25,3,0.5,-5
50,URLLC,3,3.15633993151243,0.308720333880694,2,99,3,PF,25,3,1.5,-5
51,URLLC,4,2.04969366636021,0.432043279703262,2,99,4,PF,25,3,2,-5
52,URLLC,0,5.09474178962801,0,2,99,0,PF,25,3,0,-5
53,URLLC,1,3.95410653578874,0.13181752706668,2,99,1,PF,25,3,0.5,-5
54,URLLC,5,2.41782155573308,0.417123821445956,2,99,5,PF,25,3,2.5,-5
55,URLLC,0,3.48596339281086,0,2,99,0,PF,25,3,0,-5
56,URLLC,4,6.45301356157338,0.317358861544153,2,99,4,PF,25,3,2,-5
57,URLLC,2,6.32970743973618,0.135382716272989,2,99,2,PF,25,3,1,-5
58,URLLC,3,5.57654562787771,0.298578585359669,2,99,3,PF,25,3,1.5,-5
59,URLLC,1,3.88043264686386,0.134679586437938,2,99,1,PF,25,3,0.5,-5
60,URLLC,3,6.65463738299649,0.288685816681633,2,99,3,PF,25,3,1.5,-5
61,URLLC,3,11.4203154417879,0.266074177817791,2,178,3,RR,31,6,1.5,0
62,URLLC,7,11.3065873406882,0.281876740875485,2,178,7,RR,31,6,3.5,0
63,URLLC,7,11.396060231331,0.2859431132977,2,178,7,RR,31,6,3.5,0
64,URLLC,9,9.66107818829559,0.286681756060857,2,178,9,RR,31,6,4.5,0
65,URLLC,8,15.0671033150253,0.275326743439366,2,178,8,RR,31,6,4,0
66,URLLC,8,7.65073233511439,0.387877952385556,2,178,8,RR,31,6,4,0
